ApostleStrength,DrillStrength(%),LP_GOLD_RING,CostOfGold,CostOfRing,YielfOfGold,DailyROI(%),WeeklyROI(%),YearlyROI(%)
1.1649,15,110,190.53,63.51,0.17,0.05,0.32,16.74
1.1649,15,120,207.85,69.28,0.17,0.04,0.29,15.34
1.1649,15,130,225.17,75.06,0.17,0.04,0.27,14.16
1.1649,15,140,242.49,80.83,0.17,0.04,0.25,13.15
1.1649,15,150,259.81,86.6,0.17,0.03,0.24,12.27
1.1649,15,160,277.13,92.38,0.17,0.03,0.22,11.51
1.1649,15,170,294.45,98.15,0.17,0.03,0.21,10.83
1.1649,15,180,311.77,103.92,0.17,0.03,0.2,10.23
1.1649,15,190,329.09,109.7,0.17,0.03,0.19,9.69
1.1649,15,200,346.41,115.47,0.17,0.03,0.18,9.21
1.1649,15,210,363.73,121.24,0.17,0.02,0.17,8.77
1.1649,15,220,381.05,127.02,0.17,0.02,0.16,8.37
1.1649,15,230,398.37,132.79,0.17,0.02,0.15,8.0
1.1649,15,240,415.69,138.56,0.17,0.02,0.15,7.67
1.1649,15,250,433.01,144.34,0.17,0.02,0.14,7.36
1.1649,15,260,450.33,150.11,0.17,0.02,0.14,7.08
1.1649,15,270,467.65,155.88,0.17,0.02,0.13,6.82
1.1649,15,280,484.97,161.66,0.17,0.02,0.13,6.58
1.1649,15,290,502.29,167.43,0.17,0.02,0.12,6.35
1.1649,15,300,519.62,173.21,0.17,0.02,0.12,6.14
1.1649,15,310,536.94,178.98,0.17,0.02,0.11,5.94
1.1649,15,320,554.26,184.75,0.17,0.02,0.11,5.75
1.1649,15,330,571.58,190.53,0.17,0.02,0.11,5.58
1.1649,15,340,588.9,196.3,0.17,0.01,0.1,5.42
1.1649,15,350,606.22,202.07,0.17,0.01,0.1,5.26
1.1649,15,360,623.54,207.85,0.17,0.01,0.1,5.11
1.1649,15,370,640.86,213.62,0.17,0.01,0.1,4.98
1.1649,15,380,658.18,219.39,0.17,0.01,0.09,4.85
1.1649,15,390,675.5,225.17,0.17,0.01,0.09,4.72
1.1649,15,400,692.82,230.94,0.17,0.01,0.09,4.6
1.1649,15,410,710.14,236.71,0.17,0.01,0.09,4.49
1.1649,15,420,727.46,242.49,0.17,0.01,0.08,4.38
1.1649,15,430,744.78,248.26,0.17,0.01,0.08,4.28
1.1649,15,440,762.1,254.03,0.17,0.01,0.08,4.18
1.1649,15,450,779.42,259.81,0.17,0.01,0.08,4.09
1.1649,15,460,796.74,265.58,0.17,0.01,0.08,4.0
1.1649,15,470,814.06,271.35,0.17,0.01,0.08,3.92
1.1649,15,480,831.38,277.13,0.17,0.01,0.07,3.84
1.1649,15,490,848.7,282.9,0.17,0.01,0.07,3.76
1.1649,15,500,866.03,288.68,0.17,0.01,0.07,3.68
1.1649,15,510,883.35,294.45,0.17,0.01,0.07,3.61
1.1649,15,520,900.67,300.22,0.17,0.01,0.07,3.54
1.1649,15,530,917.99,306.0,0.17,0.01,0.07,3.47
1.1649,15,540,935.31,311.77,0.17,0.01,0.07,3.41
1.1649,16,50,86.6,28.87,0.19,0.11,0.75,39.28
1.1649,16,60,103.92,34.64,0.19,0.09,0.63,32.73
1.1649,16,70,121.24,40.41,0.19,0.08,0.54,28.06
1.1649,16,80,138.56,46.19,0.19,0.07,0.47,24.55
1.1649,16,90,155.88,51.96,0.19,0.06,0.42,21.82
1.1649,16,100,173.21,57.74,0.19,0.05,0.38,19.64
1.1649,16,110,190.53,63.51,0.19,0.05,0.34,17.85
1.1649,16,120,207.85,69.28,0.19,0.04,0.31,16.37
1.1649,16,130,225.17,75.06,0.19,0.04,0.29,15.11
1.1649,16,140,242.49,80.83,0.19,0.04,0.27,14.03
1.1649,16,150,259.81,86.6,0.19,0.04,0.25,13.09
1.1649,16,160,277.13,92.38,0.19,0.03,0.24,12.27
1.1649,16,170,294.45,98.15,0.19,0.03,0.22,11.55
1.1649,16,180,311.77,103.92,0.19,0.03,0.21,10.91
1.1649,16,190,329.09,109.7,0.19,0.03,0.2,10.34
1.1649,16,200,346.41,115.47,0.19,0.03,0.19,9.82
1.1649,16,210,363.73,121.24,0.19,0.03,0.18,9.35
1.1649,16,220,381.05,127.02,0.19,0.02,0.17,8.93
1.1649,16,230,398.37,132.79,0.19,0.02,0.16,8.54
1.1649,16,240,415.69,138.56,0.19,0.02,0.16,8.18
1.1649,16,250,433.01,144.34,0.19,0.02,0.15,7.86
1.1649,16,260,450.33,150.11,0.19,0.02,0.14,7.55
1.1649,16,270,467.65,155.88,0.19,0.02,0.14,7.27
1.1649,16,280,484.97,161.66,0.19,0.02,0.13,7.01
1.1649,16,290,502.29,167.43,0.19,0.02,0.13,6.77
1.1649,16,300,519.62,173.21,0.19,0.02,0.13,6.55
1.1649,16,310,536.94,178.98,0.19,0.02,0.12,6.34
1.1649,16,320,554.26,184.75,0.19,0.02,0.12,6.14
1.1649,16,330,571.58,190.53,0.19,0.02,0.11,5.95
1.1649,16,340,588.9,196.3,0.19,0.02,0.11,5.78
1.1649,16,350,606.22,202.07,0.19,0.02,0.11,5.61
1.1649,16,360,623.54,207.85,0.19,0.01,0.1,5.46
1.1649,16,370,640.86,213.62,0.19,0.01,0.1,5.31
1.1649,16,380,658.18,219.39,0.19,0.01,0.1,5.17
1.1649,16,390,675.5,225.17,0.19,0.01,0.1,5.04
1.1649,16,400,692.82,230.94,0.19,0.01,0.09,4.91
1.1649,16,410,710.14,236.71,0.19,0.01,0.09,4.79
1.1649,16,420,727.46,242.49,0.19,0.01,0.09,4.68
1.1649,16,430,744.78,248.26,0.19,0.01,0.09,4.57
1.1649,16,440,762.1,254.03,0.19,0.01,0.09,4.46
1.1649,16,450,779.42,259.81,0.19,0.01,0.08,4.36
1.1649,16,460,796.74,265.58,0.19,0.01,0.08,4.27
1.1649,16,470,814.06,271.35,0.19,0.01,0.08,4.18
1.1649,16,480,831.38,277.13,0.19,0.01,0.08,4.09
1.1649,16,490,848.7,282.9,0.19,0.01,0.08,4.01
1.1649,16,500,866.03,288.68,0.19,0.01,0.08,3.93
1.1649,16,510,883.35,294.45,0.19,0.01,0.07,3.85
1.1649,16,520,900.67,300.22,0.19,0.01,0.07,3.78
1.1649,16,530,917.99,306.0,0.19,0.01,0.07,3.71
1.1649,16,540,935.31,311.77,0.19,0.01,0.07,3.64
1.1649,17,50,86.6,28.87,0.2,0.11,0.8,41.73
1.1649,17,60,103.92,34.64,0.2,0.1,0.67,34.78
1.1649,17,70,121.24,40.41,0.2,0.08,0.57,29.81
1.1649,17,80,138.56,46.19,0.2,0.07,0.5,26.08
1.1649,17,90,155.88,51.96,0.2,0.06,0.44,23.18
1.1649,17,100,173.21,57.74,0.2,0.06,0.4,20.87
1.1649,17,110,190.53,63.51,0.2,0.05,0.36,18.97
1.1649,17,120,207.85,69.28,0.2,0.05,0.33,17.39
1.1649,17,130,225.17,75.06,0.2,0.04,0.31,16.05
1.1649,17,140,242.49,80.83,0.2,0.04,0.29,14.9
1.1649,17,150,259.81,86.6,0.2,0.04,0.27,13.91
1.1649,17,160,277.13,92.38,0.2,0.04,0.25,13.04
1.1649,17,170,294.45,98.15,0.2,0.03,0.24,12.27
1.1649,17,180,311.77,103.92,0.2,0.03,0.22,11.59
1.1649,17,190,329.09,109.7,0.2,0.03,0.21,10.98
1.1649,17,200,346.41,115.47,0.2,0.03,0.2,10.43
1.1649,17,210,363.73,121.24,0.2,0.03,0.19,9.94
1.1649,17,220,381.05,127.02,0.2,0.03,0.18,9.48
1.1649,17,230,398.37,132.79,0.2,0.02,0.17,9.07
1.1649,17,240,415.69,138.56,0.2,0.02,0.17,8.69
1.1649,17,250,433.01,144.34,0.2,0.02,0.16,8.35
1.1649,17,260,450.33,150.11,0.2,0.02,0.15,8.03
1.1649,17,270,467.65,155.88,0.2,0.02,0.15,7.73
1.1649,17,280,484.97,161.66,0.2,0.02,0.14,7.45
1.1649,17,290,502.29,167.43,0.2,0.02,0.14,7.2
1.1649,17,300,519.62,173.21,0.2,0.02,0.13,6.96
1.1649,17,310,536.94,178.98,0.2,0.02,0.13,6.73
1.1649,17,320,554.26,184.75,0.2,0.02,0.13,6.52
1.1649,17,330,571.58,190.53,0.2,0.02,0.12,6.32
1.1649,17,340,588.9,196.3,0.2,0.02,0.12,6.14
1.1649,17,350,606.22,202.07,0.2,0.02,0.11,5.96
1.1649,17,360,623.54,207.85,0.2,0.02,0.11,5.8
1.1649,17,370,640.86,213.62,0.2,0.02,0.11,5.64
1.1649,17,380,658.18,219.39,0.2,0.02,0.11,5.49
1.1649,17,390,675.5,225.17,0.2,0.01,0.1,5.35
1.1649,17,400,692.82,230.94,0.2,0.01,0.1,5.22
1.1649,17,410,710.14,236.71,0.2,0.01,0.1,5.09
1.1649,17,420,727.46,242.49,0.2,0.01,0.1,4.97
1.1649,17,430,744.78,248.26,0.2,0.01,0.09,4.85
1.1649,17,440,762.1,254.03,0.2,0.01,0.09,4.74
1.1649,17,450,779.42,259.81,0.2,0.01,0.09,4.64
1.1649,17,460,796.74,265.58,0.2,0.01,0.09,4.54
1.1649,17,470,814.06,271.35,0.2,0.01,0.09,4.44
1.1649,17,480,831.38,277.13,0.2,0.01,0.08,4.35
1.1649,17,490,848.7,282.9,0.2,0.01,0.08,4.26
1.1649,17,500,866.03,288.68,0.2,0.01,0.08,4.17
1.1649,17,510,883.35,294.45,0.2,0.01,0.08,4.09
1.1649,17,520,900.67,300.22,0.2,0.01,0.08,4.01
1.1649,17,530,917.99,306.0,0.2,0.01,0.08,3.94
1.1649,17,540,935.31,311.77,0.2,0.01,0.07,3.86
