ApostleStrength,DrillStrength(%),liquidity,CostOfGold,YielfOfGold,CostOfRing,DailyROI(%),WeeklyROI(%),YearlyROI(%)
1.1649,6,50,50,0.07,50,0.07,0.49,25.51
1.1649,6,60,60,0.07,60,0.06,0.41,21.26
1.1649,6,70,70,0.07,70,0.05,0.35,18.22
1.1649,6,80,80,0.07,80,0.04,0.31,15.94
1.1649,6,90,90,0.07,90,0.04,0.27,14.17
1.1649,6,100,100,0.07,100,0.03,0.24,12.76
1.1649,6,110,110,0.07,110,0.03,0.22,11.6
1.1649,6,120,120,0.07,120,0.03,0.2,10.63
1.1649,6,130,130,0.07,130,0.03,0.19,9.81
1.1649,6,140,140,0.07,140,0.02,0.17,9.11
1.1649,6,150,150,0.07,150,0.02,0.16,8.5
1.1649,6,160,160,0.07,160,0.02,0.15,7.97
1.1649,6,170,170,0.07,170,0.02,0.14,7.5
1.1649,6,180,180,0.07,180,0.02,0.14,7.09
1.1649,6,190,190,0.07,190,0.02,0.13,6.71
1.1649,6,200,200,0.07,200,0.02,0.12,6.38
1.1649,6,210,210,0.07,210,0.02,0.12,6.07
1.1649,6,220,220,0.07,220,0.02,0.11,5.8
1.1649,6,230,230,0.07,230,0.02,0.11,5.55
1.1649,6,240,240,0.07,240,0.01,0.1,5.31
1.1649,6,250,250,0.07,250,0.01,0.1,5.1
1.1649,6,260,260,0.07,260,0.01,0.09,4.91
1.1649,6,270,270,0.07,270,0.01,0.09,4.72
1.1649,6,280,280,0.07,280,0.01,0.09,4.56
1.1649,6,290,290,0.07,290,0.01,0.08,4.4
1.1649,6,300,300,0.07,300,0.01,0.08,4.25
1.1649,6,310,310,0.07,310,0.01,0.08,4.11
1.1649,6,320,320,0.07,320,0.01,0.08,3.99
1.1649,6,330,330,0.07,330,0.01,0.07,3.87
1.1649,6,340,340,0.07,340,0.01,0.07,3.75
1.1649,6,350,350,0.07,350,0.01,0.07,3.64
1.1649,6,360,360,0.07,360,0.01,0.07,3.54
1.1649,6,370,370,0.07,370,0.01,0.07,3.45
1.1649,6,380,380,0.07,380,0.01,0.06,3.36
1.1649,6,390,390,0.07,390,0.01,0.06,3.27
1.1649,6,400,400,0.07,400,0.01,0.06,3.19
1.1649,6,410,410,0.07,410,0.01,0.06,3.11
1.1649,6,420,420,0.07,420,0.01,0.06,3.04
1.1649,6,430,430,0.07,430,0.01,0.06,2.97
1.1649,6,440,440,0.07,440,0.01,0.06,2.9
1.1649,6,450,450,0.07,450,0.01,0.05,2.83
1.1649,6,460,460,0.07,460,0.01,0.05,2.77
1.1649,6,470,470,0.07,470,0.01,0.05,2.71
1.1649,6,480,480,0.07,480,0.01,0.05,2.66
1.1649,6,490,490,0.07,490,0.01,0.05,2.6
1.1649,6,500,500,0.07,500,0.01,0.05,2.55
1.1649,6,510,510,0.07,510,0.01,0.05,2.5
1.1649,6,520,520,0.07,520,0.01,0.05,2.45
1.1649,6,530,530,0.07,530,0.01,0.05,2.41
1.1649,6,540,540,0.07,540,0.01,0.05,2.36
1.1649,7,50,50,0.08,50,0.08,0.57,29.76
1.1649,7,60,60,0.08,60,0.07,0.48,24.8
1.1649,7,70,70,0.08,70,0.06,0.41,21.26
1.1649,7,80,80,0.08,80,0.05,0.36,18.6
1.1649,7,90,90,0.08,90,0.05,0.32,16.54
1.1649,7,100,100,0.08,100,0.04,0.29,14.88
1.1649,7,110,110,0.08,110,0.04,0.26,13.53
1.1649,7,120,120,0.08,120,0.03,0.24,12.4
1.1649,7,130,130,0.08,130,0.03,0.22,11.45
1.1649,7,140,140,0.08,140,0.03,0.2,10.63
1.1649,7,150,150,0.08,150,0.03,0.19,9.92
1.1649,7,160,160,0.08,160,0.03,0.18,9.3
1.1649,7,170,170,0.08,170,0.02,0.17,8.75
1.1649,7,180,180,0.08,180,0.02,0.16,8.27
1.1649,7,190,190,0.08,190,0.02,0.15,7.83
1.1649,7,200,200,0.08,200,0.02,0.14,7.44
1.1649,7,210,210,0.08,210,0.02,0.14,7.09
1.1649,7,220,220,0.08,220,0.02,0.13,6.76
1.1649,7,230,230,0.08,230,0.02,0.12,6.47
1.1649,7,240,240,0.08,240,0.02,0.12,6.2
1.1649,7,250,250,0.08,250,0.02,0.11,5.95
1.1649,7,260,260,0.08,260,0.02,0.11,5.72
1.1649,7,270,270,0.08,270,0.02,0.11,5.51
1.1649,7,280,280,0.08,280,0.01,0.1,5.31
1.1649,7,290,290,0.08,290,0.01,0.1,5.13
1.1649,7,300,300,0.08,300,0.01,0.1,4.96
1.1649,7,310,310,0.08,310,0.01,0.09,4.8
1.1649,7,320,320,0.08,320,0.01,0.09,4.65
1.1649,7,330,330,0.08,330,0.01,0.09,4.51
1.1649,7,340,340,0.08,340,0.01,0.08,4.38
1.1649,7,350,350,0.08,350,0.01,0.08,4.25
1.1649,7,360,360,0.08,360,0.01,0.08,4.13
1.1649,7,370,370,0.08,370,0.01,0.08,4.02
1.1649,7,380,380,0.08,380,0.01,0.08,3.92
1.1649,7,390,390,0.08,390,0.01,0.07,3.82
1.1649,7,400,400,0.08,400,0.01,0.07,3.72
1.1649,7,410,410,0.08,410,0.01,0.07,3.63
1.1649,7,420,420,0.08,420,0.01,0.07,3.54
1.1649,7,430,430,0.08,430,0.01,0.07,3.46
1.1649,7,440,440,0.08,440,0.01,0.06,3.38
1.1649,7,450,450,0.08,450,0.01,0.06,3.31
1.1649,7,460,460,0.08,460,0.01,0.06,3.24
1.1649,7,470,470,0.08,470,0.01,0.06,3.17
1.1649,7,480,480,0.08,480,0.01,0.06,3.1
1.1649,7,490,490,0.08,490,0.01,0.06,3.04
1.1649,7,500,500,0.08,500,0.01,0.06,2.98
1.1649,7,510,510,0.08,510,0.01,0.06,2.92
1.1649,7,520,520,0.08,520,0.01,0.05,2.86
1.1649,7,530,530,0.08,530,0.01,0.05,2.81
1.1649,7,540,540,0.08,540,0.01,0.05,2.76
1.1649,8,50,50,0.09,50,0.09,0.65,34.02
1.1649,8,60,60,0.09,60,0.08,0.54,28.35
1.1649,8,70,70,0.09,70,0.07,0.47,24.3
1.1649,8,80,80,0.09,80,0.06,0.41,21.26
1.1649,8,90,90,0.09,90,0.05,0.36,18.9
1.1649,8,100,100,0.09,100,0.05,0.33,17.01
1.1649,8,110,110,0.09,110,0.04,0.3,15.46
1.1649,8,120,120,0.09,120,0.04,0.27,14.17
1.1649,8,130,130,0.09,130,0.04,0.25,13.08
1.1649,8,140,140,0.09,140,0.03,0.23,12.15
1.1649,8,150,150,0.09,150,0.03,0.22,11.34
1.1649,8,160,160,0.09,160,0.03,0.2,10.63
1.1649,8,170,170,0.09,170,0.03,0.19,10.0
